,NYUAD Archives Reference,,Song Title,Artist,Composer,Year (estimate/range),Original Format,Side,Label,"Serial Numbers (Generally: Recording #, Disc #, other)",Genre,Collection ID,Image,Research Notes,Corrections made by Cristóbal. 
TRUE,AD-MC-035_ref522,522,Tupendane Kwa Mapenzi,Morogoro Jazz Band,Mharami Hamisi,NA,78 rpm shellac disc,NA,His Master's Voice,"OAM.170, AMC 69",Swahili,PP,Y,"""(Leader: Makara Kindemire)."" ""Made in England.""",New Entry! 
TRUE,AD-MC-035_ref524,524,Twakukumbuka,Salum’s Brass Band,NA,NA,78 rpm shellac disc,NA,Trek,"XYZ.6062, DC.175, RC.31","Swahili/Nguja, Swahili Rumba",PP,Y,“Leader: Salum Seliman”,Added periods. Added third serial number. 
TRUE,AD-MC-035_ref525,525,Ua Langu Limechanua,Osman Bin Juma,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1095, EO.2165",Swahili,PP,Y,"""Magic Notes Trade Mark.""",
TRUE,AD-MC-035_ref526,526,Ugeni Mbaya,Maulidi,NA,1952-1961,78 rpm shellac disc,B,Jambo,"JR. 235, EA.131",Swahili,PP,Y,"""Vocal, with Tabla and Harmonium accompaniment.""",New Entry!
TRUE,AD-MC-035_ref528,528,Ugeni Wa Africa—Part 1,Umari,NA,NA,78 rpm shellac disc,A,Columbia,"CES. 570, EO.2004",Swahili,PP,Y,"""Magic Notes Trade Mark."" Same performer as Ustad Omar?",New Entry!
TRUE,AD-MC-035_ref529,529,Ugeni Wa Africa—Part 2,Umari,NA,NA,78 rpm shellac disc,B,Columbia,"CES. 571, EO.2004",Swahili,PP,Y,"""Magic Notes Trade Mark."" Same performer as Ustad Omar?",New Entry!
TRUE,AD-MC-035_ref530,530,Ukiwa wangu,Mohomedi A. Bwagajuga,NA,1950,78 rpm shellac disc,B,Gallotone,"XYZ.6092, GB.1261, RC.30",Swahili/Nguja,PP,Y,"Singer also known as Mohamed Ali Bwagajuga. ""Love song, with guitar and rattles."" Also archived in Mainz AMA.",New Entry!
TRUE,AD-MC-035_ref532,532,Ulevi Kubaya,Nyameshe Kitoto Adel,NA,NA,78 rpm shellac disc,NA,Arrow,"ZD. 16, ARC 508",Swahili,PP,Y,Zaverchand (Mombasa). “Guitar & Maracas”,Serial numbers. Side.
TRUE,AD-MC-035_ref534,534,Una Nini Bwana 1 partie,Siti Tete Binti Mabruk,NA,ca. 1930,78 rpm shellac disc,A,Pathé,"N 73.017, X. 79002",Swahili,PP,Y,"""Mughani Siti Tete Binti Mabruk."" ""Swahili Song of Mombasa."" ""Acc. Uod na Kamanja."" ",
TRUE,AD-MC-035_ref536,536,Una Nini Bwana 2 partie,Siti Tete Binti Mabruk,NA,ca. 1930,78 rpm shellac disc,B,Pathé,"N 73.018, X. 79002",Swahili,PP,Y,"""Mughani Siti Tete Binti Mabruk."" ""Swahili Song of Mombasa."" ""Acc. Uod na Kamanja."" ",
TRUE,AD-MC-035_ref538,538,Tuache Ubaya,"Gerechabo Adolf & Party, Agey Jazz Orchestra ",NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB.1026, AM 513",Congo Swahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa.""",Notes. Serial no. 
TRUE,AD-MC-035_ref540,540,Uniombee Karima—Sehemu Ya Kwanza,Malim Shaban,Malim Shaban,ca. 1930,78 rpm shellac disc,NA,Columbia,"W 63123, WE 21",Wimbo—Kiswahili,PP,Y,"Alternate spellings: Maalim Shaban, Maalim Shaaban, Mw. Shabaan.  “Tanganyika and Zanzibar Recording.” ""Magic Notes Trademark."" Matola et al. 1966:42.",New Entry!
TRUE,AD-MC-035_ref541,541,Uniombee Karima—Sehemu Ya Pili,Malim Shaban,Malim Shaban,ca. 1930,78 rpm shellac disc,NA,Columbia,"W 63124, WE 21",Wimbo—Kiswahili,PP,Y,"Alternate spellings: Maalim Shaban, Maalim Shaaban, Mw. Shabaan. “Tanganyika and Zanzibar Recording.” ""Magic Notes Trademark."" Matola et al. 1966:42.",New Entry! 
TRUE,AD-MC-035_ref542,542,Vitendo,Siti Ganduri & Kibwana,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1309, EO.501",Ki-Swahili,PP,Y,"""Magic Notes Trade Mark.""",New Entry!
TRUE,AD-MC-035_ref543,543,Vunja Taa Part 1,Ustad Omar,NA,1952-1961,78 rpm shellac disc,A,Jambo,"J.R. 504, EA. 233",Swahili,PP,Y,Swahili comedy. Part 1 of 2. Same performer as Umari? “East African Records LTD.”,Added periods to serial numbers. 
TRUE,AD-MC-035_ref545,545,Vunja Taa Part 2,Ustad Omar,NA,1952-1961,78 rpm shellac disc,B,Jambo,"J.R. 505, EA. 233",Swahili,PP,Y,Swahili comedy. Part 2 of 2. Same performer as Umari? “East African Records LTD.”,Added periods to serial numbers. 
TRUE,AD-MC-035_ref547,547,Vya Kumpyelo,Morogoro Jazz Band,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1158, EA. 558",Swahili,PP,Y,"""East Africa Records LTD."" “Full Band & Vocal.”",Changed side. 
TRUE,AD-MC-035_ref549,549,Wachawi,Yaseen and Mimi (Radio Singers),NA,ca. 1955-1965,78 rpm shellac disc,B,Mzuri,"A.B. 702, AM. 351",Kiswahili,PP,Y,"Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Assanand & Sons (Mombasa) LTD. “Radio singers.”",Added radio singers to name. Added periods to serial numbers. 
TRUE,AD-MC-035_ref551,551,Wakilindaje Kisima?,Jauharah Orchestra,NA,1950,78 rpm shellac disc,A,Gallotone,"ABC.13676, GB.2229",Swahili,PP,Y,"""Leader: Shariff T. Twahir."" Also archived in Mainz AMA. Duplicaed in JH.",New Entry
TRUE,AD-MC-035_ref553,553,Wanahibak Ya Salaam,Saleh Abdulla El Antari,El Antari,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAS 382, MA 241",Arabic,PP,Y,"Well known Yemeni singer. ""Made in England.""",
TRUE,AD-MC-035_ref555,555,Wanawake Use Tange,Idi Bin Salim,NA,NA,78 rpm shellac disc,NA,Tazama,"TM 485, IS 1",Swahili,PP,Y,“Distributors: 1. Rajabali Valimahomed; 2. Uganda Music Emp. LTD.”,Sides
TRUE,AD-MC-035_ref557,557,Wangapi Wataazizi,Rajabu Idi/Fundi Konde,NA,1957,78 rpm shellac disc,B,His Master's Voice,"OAM.453, AMC 141",Swahili,PP,Y,"""Rajabu Idi (guitar & vocal), Fundi Konde (guitar)."" ""Recording First Published in 1957.""",New Entry
TRUE,AD-MC-035_ref559,559,Wapinga Wose Wanileka,Morogoro Jazz Band,Kulwa Salim,ca. 1955-1965,78 rpm shellac disc,A,Mzuri,"AB 397, TA 1242, AM 199",Kilugulu,PP,Y,"""Assanand & Sons (Mombasa) LTD.""",None
TRUE,AD-MC-035_ref560,560,Wata Ninyamae,Omar & Party of Charlsea Club,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.4022, EO.2132",Swahili,PP,Y,"Should read: “Chelsea Club”? ""Magic Notes Trade Mark.""",Added side. Added research notes. 
TRUE,AD-MC-035_ref561,561,Wazimu—Samba,Yaseen & Kasanga Party,Yaseen & Party,NA,78 rpm shellac disc,NA,Columbia,"CES. 10015, EOM 11",Kiswahili,PP,Y,"""Magic Notes Trade Mark."" Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. ",Added period to first serial number. Added composer. Changed disc side from A to NA. 
TRUE,AD-MC-035_ref563,563,Waume Watele,Lamu Omari,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB. 853, AM. 427",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa."" Swahili comedy.",New Entry
TRUE,AD-MC-035_ref565,565,White Cap,Fundi Konde & Ben,NA,NA,78 rpm shellac disc,NA,Habari,"M 774, CV 16",Swahili Duet,PP,Y,“Specially Made for Assanand & Sons (Uganda) LTD. Kampala.”,Sides
TRUE,AD-MC-035_ref567,567,Wiwu Mwingi Si Mali,Fundi Konde,NA,NA,78 rpm shellac disc,NA,Habari,"M 779, CV 19",Swahili Solo,PP,Y,“Specially Made for Assanand & Sons (Uganda) LTD. Kampala.” Title should read: “Wivu Mwingi Si Mali.”,
TRUE,AD-MC-035_ref569,569,Yailahi Duwa,Egyptian Band Vocalist: Abbas Haji,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1152, EA. 555",Swahili,PP,Y,"""Band & Vocal."" ""East African Records LTD.""",New Entry
TRUE,AD-MC-035_ref571,571,Yakini Nuuma—Part I,Sitti Bint Saad,NA,NA,78 rpm shellac disc,A,Columbia,"CES. 28, EO. 2014",Swahili,PP,Y,"Siti Binti Saad. ""Magic Notes Trade Mark.""",New Entry!
TRUE,AD-MC-035_ref573,573,Yakini Nuuma—Part II,Sitti Bint Saad,NA,NA,78 rpm shellac disc,B,Columbia,"CES. 29, EO. 2014",Swahili,PP,Y,"Siti Binti Saad. ""Magic Notes Trade Mark.""",New Entry!
TRUE,AD-MC-035_ref575,575,Yako Mashakani,Siti Masika & Sulemani,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 31, AM 16",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa"" ""Made in Germany."" ""Udi Taisokoto, Maracas & Drums.""",New Entry!
TRUE,AD-MC-035_ref577,577,Yamini Nakuapia,Kibokoni Dramatic Party,NA,NA,78 rpm shellac disc,NA,His Master's Voice,"OAF.152, M.A.118",Traditional,PP,Y,NA,New Entry
TRUE,AD-MC-035_ref578,578,Yarabi Nihifadhi,Egyptian Musical Club,NA,NA,78 rpm shellac disc,B,Gallotone,"ABC.12290, TA.70",Swahili,PP,Y,"""Leader: Bom Amberon."" ""Made in England."" ""Music Pub. Co. of Africa.""",New Entry
TRUE,AD-MC-035_ref580,580,Ye Baa,Morogoro Jazz Band,Kulwa Salim,ca. 1955-1965,78 rpm shellac disc,B,Mzuri,"AB 398, TA 1243, AM 199",Kiswahili,PP,Y,"""Assanand & Sons (Mombasa) LTD.""",None
TRUE,AD-MC-035_ref581,581,Zadal baraa min bayni,Salim Zeydani with Arab Men,NA,NA,78 rpm shellac disc,A,Gallotone,"XYZ.5616, GB. 1579",Arabic,PP,Y,"""(Wedding songs, with drums and Clapping)."" """,New Entry!
TRUE,AD-MC-035_ref583,583,Zake,King’s Band,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"A.M. 13, EA. 758",Kiswahili,PP,Y,"“East African Records LTD.” “King’s Band Yaseen Orch. & Vocal.” Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Safari Sounds has a similar song, claim it is their own (Jamal Hafidh).",Sides
TRUE,AD-MC-035_ref585,585,Zum Zum Zum,Fundi Konde/Reg. Manus/Ben Nicholas,Fundi Konde,1957,78 rpm shellac disc,B,His Master's Voice,"OAM.448, AMC 151",Swahili,PP,Y,"“Fundi Konde (guitar & vocal), Reg. Manus (P. accordeon), Ben Nicholas (bass)”",
TRUE,AD-MC-035_ref587,587,Africa ,Malika,NA,NA,NA,NA,NA,NA,NA,JH,,Full name: Asha Abdo Suleiman. Recorded when Malika was a Somali national and employed by the state.,New Entry
TRUE,AD-MC-035_ref589,589,Africa [more complete version],Malika,NA,NA,NA,NA,NA,NA,NA,JH,,Full name: Asha Abdo Suleiman. Recorded when Malika was a Somali national and employed by the state.,New Entry
TRUE,AD-MC-035_ref591,591,Ajabu ya Kuku,Alwattan Musical Club,NA,1950,78 rpm shellac disc,NA,Gallotone,NA,Swahili,JH,,Also archived in Mainz AMA.,
TRUE,AD-MC-035_ref593,593,Akiba Mwenya Nayo,Alwattan Musical Club,NA,1950,78 rpm shellac disc,B,Gallotone,NA,NA,JH,,Also archived in Mainz AMA.,
TRUE,AD-MC-035_ref595,595,Akija Tumzuie Simba,Ngoma ya Msondo,NA,ca. 1930,78 rpm shellac disc,B,Columbia,WE 14,Kiswahili,JH,,Listed on Afrodisc.com.,New Entry
TRUE,AD-MC-035_ref597,597,Alfu Leila 1,Matano Juma,NA,NA,NA,NA,NA,NA,NA,NA,,NA,New Entry
TRUE,AD-MC-035_ref598,598,Alfu Leila 2,Matano Juma,NA,NA,NA,NA,NA,NA,NA,NA,,NA,New Entry
TRUE,AD-MC-035_ref599,599,Amma Baadu Nduyangu,Mbaruk Effendi,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,"Alternate names: Sheikh Mbaruk Effendi, Sheik Mbaruk Effendi, Mbaruk Effandi, Mbaruk Talsam",New Entry!
TRUE,AD-MC-035_ref600,600,Amma Baadu Nduyangu 1,Omar Bin Juma,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref601,601,Antal Hayatu,Omar Awadh Albany,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref602,602,Asma,Juma Bhalo & Party,NA,NA,45 rpm vinyl disc,NA,Philips,"AL 299, HL 7 - 150",Kiswahili,JH,Y,"""An Assanand & Sons (Msa) LTD. Mzuri Recording."" ""MFD by E. A. Records for Phonograph in E. Africa.""",New Entry
TRUE,AD-MC-035_ref604,604,Atayul Habibata,Abdulrahman Bin Karman,NA,NA,NA,NA,NA,NA,NA,JH,,NA,
TRUE,AD-MC-035_ref605,605,Baashraf,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref606,606,Banusaada Tuko Uwanjani,Banusaada Lele-Mama,NA,NA,NA,NA,NA,NA,NA,JH,,NA,NA
TRUE,AD-MC-035_ref607,607,Basakhera 1,Mbaruk Effendi,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,"Alternate names: Sheikh Mbaruk Effendi, Sheik Mbaruk Effendi, Mbaruk Effandi, Mbaruk Talsam",New Entry!
TRUE,AD-MC-035_ref608,608,Basakhera 2,Mbaruk Effendi,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,"Alternate names: Sheikh Mbaruk Effendi, Sheik Mbaruk Effendi, Mbaruk Effandi, Mbaruk Talsam",New Entry!
TRUE,AD-MC-035_ref609,609,Usingizi. Part 1,Budda Bin Mwendo,Budda Bin Mwendo,ca. 1930,78 rpm shellac disc,A,Columbia,"W.63055, WE.56",Swahili Song,PP,Y,"Alternate spelling: “Buda Bin Mwendo.” ""Magic Notes Trade Mark."" ""Tanganyika & Zanzibar Recording."" Matola et al. 1966:115.",Serial no. Notes. Artist spelling
TRUE,AD-MC-035_ref611,611,Beru Beru,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref612,612,Binaadamu,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref613,613,Binaadamu Havumi,Siti Ganduri and Party of Ras Maalin Revue,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry!
TRUE,AD-MC-035_ref614,614,Bombay Safari,Musa Maruf,NA,NA,NA,NA,NA,NA,NA,JH,,"Late-career release. Live, distributed on magnetic reel. (Jamal Hafidh)",New Entry! 
TRUE,AD-MC-035_ref616,616,Bwana Swalehe,Mbaruk Effendi,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,"Alternate names: Sheikh Mbaruk Effendi, Sheik Mbaruk Effendi, Mbaruk Effandi, Mbaruk Talsam",New Entry!
TRUE,AD-MC-035_ref617,617,Chozi Lanichoka,Sharmila/Black Star Musical Club,NA,ca. 1960-1972,45 rpm vinyl disc,NA,Philips,"AL 485, HL 7 - 243",Kiswahili,JH,Y,"""An Assanand & Sons (Msa) LTD. Mzuri Recording."" ""MFD by E. A. Records for Phonograph in E. Africa."" ""Somalia""",New Entry
TRUE,AD-MC-035_ref619,619,Chukuwa Maziwa,Siti Ganduri and Party of Ras Maalin Revue,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry!
TRUE,AD-MC-035_ref620,620,Dali Yawadudi,Juma Suleiman,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref621,621,Dana Dana,Mbaruk Effendi,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,"Alternate names: Sheikh Mbaruk Effendi, Sheik Mbaruk Effendi, Mbaruk Effandi, Mbaruk Talsam",New Entry!
TRUE,AD-MC-035_ref622,622,Dezi Kanambiya,Ramadhan Faki,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref623,623,Diamond Jubilee 1,Musa Maruf,NA,NA,NA,NA,NA,NA,NA,JH,,Later (live?) version of the Jambo Records single.,New Entry! 
TRUE,AD-MC-035_ref624,624,Diamond Jubilee 2,Musa Maruf,NA,NA,NA,NA,NA,NA,NA,JH,,Later (live?) version of the Jambo Records single.,New Entry! 
TRUE,AD-MC-035_ref627,627,Dua,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref628,628,Dunia ,Siti Ganduri and Party of Ras Maalin Revue,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry!
TRUE,AD-MC-035_ref629,629,Ee Baba Pakistan,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref630,630,"Ee, Baba Pakistan",Alwattan Musical Club,Leyla Maulidi,1950,78 rpm shellac disc,A,Gallotone,"XYZ.680, GB.1238",Swahili/Nguja,JH,,"""Love song, with orchestra."" ""Leader: Subeti Salim Saidi."" Song also recorded by Siti binti Saad. Also archived in the British Library Sound Archive, and released on Poetry and Languid Charm (Topic Records, 2007) with contextual notes by Janet Topp Fargion.",
TRUE,AD-MC-035_ref632,632,Enyi Wakhiyari,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref633,633,Ewe Roho Yangu,Ramadhan Faki,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref634,634,Fanya Utakalo,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref635,635,Fundi Wangu Kanambiya,Alwattan Musical Club,NA,1950,78 rpm shellac disc,A,Gallotone,NA,NA,JH,,Also archived in Mainz AMA.,
TRUE,AD-MC-035_ref637,637,Fungua Uso Wako,Musa Maruf,NA,NA,NA,NA,NA,NA,NA,JH,,Late-career release (Jamal Hafidh).,New Entry! 
TRUE,AD-MC-035_ref639,639,Ghafula,Juma Bhalo & Party,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref640,640,Halua Somali,Abdulrahman Bin Karman,NA,NA,NA,NA,NA,NA,NA,JH,,NA,
TRUE,AD-MC-035_ref641,641,Harufu ya Sini,Moh'd Kadara,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry!
TRUE,AD-MC-035_ref642,642,Hasidi,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref643,643,Hero,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref644,644,Howa Bibiye 2,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref645,645,Howa Howa,Juma Bhalo & Party,NA,ca. 1960-1972,45 rpm vinyl disc,B,Philips,HL 7-136,NA,JH,,Listed on KenTanzaVinyl.com.,New Entry
TRUE,AD-MC-035_ref648,648,Howa Howa Mwanangu,Malim Shaban,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,"Alternate spellings: Maalim Shaban, Maalim Shaaban, Mw. Shabaan",New Entry! 
TRUE,AD-MC-035_ref650,650,Huba na Mapenzi,Mbaruk Effendi,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,"Alternate names: Sheikh Mbaruk Effendi, Sheik Mbaruk Effendi, Mbaruk Effandi, Mbaruk Talsam. Matola et al. 1966:77. Alternate version of Columbia recording with solo accomp., possibly Gallotone.",New Entry!
TRUE,AD-MC-035_ref651,651,Huba na Mapenzi––Sehemu ya Kwanza,Mbaruk Effendi,Mbaruk Effendi,ca. 1930,78 rpm shellac disc,A,Columbia,WE 47,Kiswahili,JH,,"Alternate names: Sheikh Mbaruk Effendi, Sheik Mbaruk Effendi, Mbaruk Effandi, Mbaruk Talsam. Listed on Afrodisc.com. Matola et al. 1966:77.",New Entry!
TRUE,AD-MC-035_ref653,653,Huba na Mapenzi––Sehemu ya Pili,Mbaruk Effendi,Mbaruk Effendi,ca. 1930,78 rpm shellac disc,B,Columbia,WE 47,Kiswahili,JH,,"Alternate names: Sheikh Mbaruk Effendi, Sheik Mbaruk Effendi, Mbaruk Effandi, Mbaruk Talsam. Listed on Afrodisc.com. Matola et al. 1966:77.",New Entry!
TRUE,AD-MC-035_ref655,655,Ibinaa Imefurahi,Siti Mayasa and Party,NA,1950,78 rpm shellac disc,A,Jambo,NA,NA,JH,,East African Sound Studios. Also archived in Mainz AMA.,New Entry!
TRUE,AD-MC-035_ref657,657,Ila Kafa Ndugu Zangu,Ramadhan Faki,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref658,658,Ila-Mahaba,Juma Bhalo & Party,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref659,659,Ilahi Wadudi,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref660,660,Illahi Wadudi,Alwattan Musical Club,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,
TRUE,AD-MC-035_ref661,661,Itabu 1,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref662,662,Itabu 2,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref663,663,Iwa Mtulivu,Jauharah Orchestra,NA,1955,78 rpm shellac disc,B,Trek,NA,NA,JH,,Also archived in Mainz AMA.,New Entry
TRUE,AD-MC-035_ref665,665,Iwapi Risala?,Alwattan Musical Club,Subeti Salim Saidi,1950,78 rpm shellac disc,B,Gallotone,"ABC.13812, GB.2246",NA,JH,,"Singer: M. Maftaha. Also archived in the British Library Sound Archive, and released on Poetry and Languid Charm (Topic Records, 2007) with contextual notes by Janet Topp Fargion.",
TRUE,AD-MC-035_ref667,667,Jaji Wetu Kwakutuma,Banusaada Lele-Mama,NA,NA,NA,NA,NA,NA,NA,JH,,NA,NA
TRUE,AD-MC-035_ref668,668,Jipeleleze Part 1,Rashid Mussa,Rashid Mussa,NA,45 rpm vinyl disc,A,A.S.P.Y.L. (Culture),URT 102,NA,JH,Y,"""Accompinaments: Rashid Mussa."" ""Made in India by the Gramophone Company of India Limited."" Label: Afro-Shirazi Party Youth League (Zanzibar)/",New Entry
TRUE,AD-MC-035_ref670,670,Jipeleleze Part 2,Rashid Mussa,Rashid Mussa,NA,45 rpm vinyl disc,B,A.S.P.Y.L. (Culture),URT 102,NA,JH,Y,"""Accompinaments: Rashid Mussa."" ""Made in India by the Gramophone Company of India Limited."" Label: Afro-Shirazi Party Youth League (Zanzibar).",New Entry
TRUE,AD-MC-035_ref672,672,Jua Toka,Budda Swedi,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref673,673,Jumla ya Maashiki,Siti wa Habu,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry!
TRUE,AD-MC-035_ref674,674,Junju Meya,Mombasa Jazz Band,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref675,675,Kacha Cha,Salim Abdulla/Cuban Marimba Band,Salim Abdulla,ca. 1965-1975,45 rpm vinyl disc,NA,Mzuri,"AL 56, HL 7 - 28",KIswahili,JH,Y,"""Assanand & Sons (Mombasa) LTD."" (Marehemu Salim Abdulla)."" Marehemu = ""the late"" (i.e. Salim Abdulla had passed away at the time of this release.",New Entry
TRUE,AD-MC-035_ref677,677,Kaifa Yakuna 1,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref678,678,Kaifa Yakuna 2,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref679,679,Kampanda Mla Mlelea,Malim Shaban,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,"Alternate spellings: Maalim Shaban, Maalim Shaaban, Mw. Shabaan",New Entry! 
TRUE,AD-MC-035_ref680,680,Katika Duniya,Musa Maruf,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 772, EA.421",Swahili,JH,,Duplicated in PP.,New Entry! 
TRUE,AD-MC-035_ref682,682,Kem Kem,Juma Bhalo & Party,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref683,683,Kheri Unambiye,Alwattan Musical Club,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,
TRUE,AD-MC-035_ref684,684,Kheri Uniambiye,Malim Shaban,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,"Alternate spellings: Maalim Shaban, Maalim Shaaban, Mw. Shabaan",New Entry! 
TRUE,AD-MC-035_ref686,686,Kigalawa Part 1,Mbaruk Effendi with Siti Binti Saad and Group,Maalim Shaaban,ca. 1930,78 rpm shellac disc,A,Columbia,WE 37,NA,JH,,"Alternate names: Sheikh Mbaruk Effendi, Sheik Mbaruk Effendi, Mbaruk Effandi, Mbaruk Talsam. Also archived in the British Library Sound Archive, and released on Poetry and Languid Charm (Topic Records, 2007) with contextual notes by Janet Topp Fargion. Matola et al. 1966:59.",New Entry!
TRUE,AD-MC-035_ref688,688,Kigalawa Part 2,Mbaruk Effendi with Siti Binti Saad and Group,Maalim Shaaban,ca. 1930,78 rpm shellac disc,B,Columbia,WE 37,NA,JH,,"Alternate names: Sheikh Mbaruk Effendi, Sheik Mbaruk Effendi, Mbaruk Effandi, Mbaruk Talsam. Also archived in the British Library Sound Archive, and released on Poetry and Languid Charm (Topic Records, 2007) with contextual notes by Janet Topp Fargion. Matola et al. 1966:42.",New Entry!
TRUE,AD-MC-035_ref690,690,Kijiti-Toto la Bandia,Musa Maruf,NA,NA,NA,NA,NA,NA,NA,JH,,Late-career release (Jamal Hafidh).,New Entry! 
TRUE,AD-MC-035_ref692,692,Kilele,Banatil Wattan and Party,NA,NA,NA,NA,NA,NA,NA,JH,,NA,
TRUE,AD-MC-035_ref693,693,Kilele Manga,Ngoma ya Bangamawi,NA,NA,NA,NA,NA,NA,NA,JH,,NA,New Entry!
TRUE,AD-MC-035_ref694,694,Kitabu Nimekifunga,Siti Ganduri and Party of Ras Maalin Revue,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry!
TRUE,AD-MC-035_ref695,695,Kitandawili Tega 1,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
TRUE,AD-MC-035_ref696,696,Kuvaa Refoma,Siti Binti Saad,NA,NA,78 rpm shellac disc,NA,NA,NA,NA,JH,,NA,New Entry
