,NYUAD Archives Reference,,Song Title,Artist,Composer,Year (estimate/range),Original Format,Side,Label,"Serial Numbers (Generally: Recording #, Disc #, other)",Genre,Collection ID,Image,Research Notes,Corrections made by Cristóbal. 
TRUE,AD-MC-035_ref133,133,Bwaga Bwaga,Young Novelty Club,NA,ca. 1955-1965,78 rpm shellac disc,A,Mzuri,"AB 665, AM 333",Kiswahili,PP,Y,Assanand & Sons (Mombasa) LTD. Based on existing Arab melody (Jamal Hafidh).,
TRUE,AD-MC-035_ref136,136,Chneno,Wamala & Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES. 1311, EO.502",Swahili Rumba,PP,Y,"""Magic notes Trademark.""",Corrected serial numbers (periods and underscores). 
TRUE,AD-MC-035_ref137,137,Dada Mariamu,Fundi Konde & Ben,NA,NA,78 rpm shellac disc,NA,Habari,"M 778, CV 18",Swahili Duet,PP,Y,Other side listed as “Fundi Konde & Ben.” “Specially Made for Assanand & Sons (Uganda) LTD. Kampala.”,Title
TRUE,AD-MC-035_ref139,139,Damu Imenikauka,Jauharah Orchestra,NA,1950,78 rpm shellac disc,B,Trek,"XYZ.7239, DC.426",Swahili ,PP,Y,"“Leader: Sheriff Twahir Ahmed; Singer: Mbarak Rashid. At Mombasa, Kenya.” Taarab. ""Africa's Best."" ""3m 1s."" Recorded by Hugh Tracey. Featured on Colonial Dance Bands (SWP Records, 2006).",Serial no. Notes. Genre. 
TRUE,AD-MC-035_ref141,141,Dar es Salaam usiende,Mohomedi A. Bwagajuga,NA,ca. 1950,78 rpm shellac disc,B,Gallotone,"XYZ.6093, GB.1262, RC.30",Swahili/Nguja,PP,Y,Singer also known as Mohamed Ali Bwagajuga. “Topical song with guitar and rattle.” See Graebner 2007.,changed cap letter in title
TRUE,AD-MC-035_ref143,143,"Dawa mziwanda kula, kula upate afia",Kaluta Amri Rin Abedi,NA,1950,78 rpm shellac disc,B,Gallotone,"XYZ.5114, GB.1265, RC.30",Swahili/Nguja/Mashairi (sung poem),PP,Y,“Mashairi (Sung Poem).” Also archived in SAMAP.,New Entry
TRUE,AD-MC-035_ref145,145,Dawa Yangu,Young Novelty Club,NA,ca. 1955-1965,78 rpm shellac disc,B,Mzuri,"AB 666, AM 333",Kiswahili,PP,Y,Assanand & Sons (Mombasa) LTD. Based on existing Indian melody (Jamal Hafidh).,
TRUE,AD-MC-035_ref147,147,Diamond Jubilee,Musa Maruf,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 219, EA. 203",Swahili,PP,Y,"“East African Records LTD.” ""Nairobi."" “Tabla & Harmonium.”",Serial number. 
TRUE,AD-MC-035_ref149,149,Dunia Imebadilika,Muhimu Baluchi,Star & Lulu Orchestra,NA,78 rpm shellac disc,NA,Columbia,"CES.10089, EOM 38",Kiswahili,PP,Y,"""Magic Notes Trade Mark.""",New Entry
TRUE,AD-MC-035_ref150,150,Duwa Njema Kwa Manani,Home Boys Band,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1090, EA. 524",Swahili Rumba,PP,Y,“East African Records LTD.” “Full Band & Vocal”,Serial no. Sides
TRUE,AD-MC-035_ref152,152,Elina Ni Wako,Fundi Konde,NA,NA,78 rpm shellac disc,NA,Troubadour,"AD 554, BZ. 1248",Swahili,PP,Y,"""Troubadour Records, P.O. BOX 1225 Johannesburg, SA.""",Serial no. Notes
TRUE,AD-MC-035_ref154,154,Ewe Mary Wangu,Silas Band,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 902, EA. 441",Swahili,PP,Y,"“East African Records LTD.” ""Nairobi"" “Vocalist: S. M. Sururu”",Added periods to serial numbers. Added research notes. 
TRUE,AD-MC-035_ref156,156,Ewe Pendo Langu,The Nairobi City Five,Fundi Konde,NA,78 rpm shellac disc,NA,His Master's Voice,"OAM 66, AMC 38",Swahili,PP,Y,“featuring Fundi Konde and Daniel Katuga (vocal); arr: Konde—Colmore.”,None
TRUE,AD-MC-035_ref158,158,Ewe Wangu Rumba,Silas Band,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 903, EA. 441",Swahili,PP,Y,"“East African Records LTD.” ""Nairobi"" “Vocalist: S. M. Sururu”",Corrected record side. Added periods. Added research notes. 
TRUE,AD-MC-035_ref160,160,Fikisha Barua Na,Miss Kiran & Pardesi,Fateh Ali,1935-1955,78 rpm shellac disc,NA,Young India,"T 752, SR 134",Swahili,PP,Y,"Based on Hindi film song. Part of a series of Swahilized Hindi film songs released by Young India. On Young India, see http://eap.bl.uk/database/overview_project.a4d?projID=EAP190;r=41. This song is not available in the British Library archive.",Corrected artist name
TRUE,AD-MC-035_ref162,162,Fondo Goa,Lamu Omari,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB. 860, AM. 430",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa."" Swahili comedy.",New Entry
TRUE,AD-MC-035_ref164,164,Funga Zizi,Shaban & Party,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1555, EA. 776",Swahili,PP,Y,"“East African Records LTD.” “Mandoline, Tabler & Vocal.” “Mandolin” probably refers to tashkoto.",
